DBMS	RUNID	QUERYNUM	UPPER_CARD	LOWER_CARD	UPPER_GEN	LOWER_GEN	UPPER_PLAN	LOWER_PLAN	UPPER_CQT	LOWER_CQT	UPPER_GEN_TXT	LOWER_GEN_TXT
db2	439	99	1380000	1370000	6	6	-6298133800155269152	4012810706430859744	1580	1575	GRPBY,HSJOIN,IXSCAN,RETURN,TBSCAN	GRPBY,HSJOIN,IXSCAN,RETURN,TBSCAN
db2	439	99	1400000	1390000	6	6	-6298133800155269152	4012810706430859744	1600	1580	GRPBY,HSJOIN,IXSCAN,RETURN,TBSCAN	GRPBY,HSJOIN,IXSCAN,RETURN,TBSCAN
db2	439	99	1490000	1480000	6	6	-6298133800155269152	-6298133800155269152	1620	1620	GRPBY,HSJOIN,IXSCAN,RETURN,TBSCAN	GRPBY,HSJOIN,IXSCAN,RETURN,TBSCAN
db2	439	99	1530000	1520000	6	6	4012810706430859744	-6298133800155269152	1630	1630	GRPBY,HSJOIN,IXSCAN,RETURN,TBSCAN	GRPBY,HSJOIN,IXSCAN,RETURN,TBSCAN
db2	439	99	1780000	1770000	6	6	-6298133800155269152	-6298133800155269152	1740	1740	GRPBY,HSJOIN,IXSCAN,RETURN,TBSCAN	GRPBY,HSJOIN,IXSCAN,RETURN,TBSCAN
db2	439	99	1820000	1810000	6	6	-6298133800155269152	4012810706430859744	1760	1750	GRPBY,HSJOIN,IXSCAN,RETURN,TBSCAN	GRPBY,HSJOIN,IXSCAN,RETURN,TBSCAN
pgsql	796	0	250000	240000	4	7	2046000684115318784	2176826478242977792	1630	1450	Hash Join,Hash,Seq Scan	Hash Join,Hash,Index Only Scan,Merge Join,Seq Scan,Sort
pgsql	796	0	830000	820000	4	4	2046000684115318784	4844355206305306624	2680	2665	Hash Join,Hash,Seq Scan	Hash Join,Hash,Seq Scan
pgsql	796	0	1010000	1000000	4	4	-1110864779457922816	3936375227294211136	3057.5	3025	Hash Join,Hash,Seq Scan	Hash Join,Hash,Seq Scan
pgsql	796	3	110000	100000	4	4	-4369347536188613892	-4326997118117122692	120	150	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Seq Scan,Sort
pgsql	796	3	690000	680000	4	4	-4326997118117122692	-4369347536188613892	1480	1280	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Seq Scan,Sort
pgsql	796	11	420000	410000	4	4	1545271067179118972	-4407683778812661380	1555	1545	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Seq Scan,Sort
pgsql	796	11	920000	910000	4	4	-7497472463017539204	-7497472463017539204	3267.5	3225	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Seq Scan,Sort
pgsql	796	11	1650000	1640000	4	4	-7497472463017539204	-1052604566935963780	5435	5470	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Seq Scan,Sort
pgsql	796	13	50000	40000	4	4	-2005342324491864320	9203335206099014144	755	565	Hash Join,Hash,Seq Scan	Hash Join,Hash,Seq Scan
pgsql	796	13	60000	50000	4	4	9203335206099014144	-2005342324491864320	640	755	Hash Join,Hash,Seq Scan	Hash Join,Hash,Seq Scan
pgsql	796	15	790000	780000	8	4	-730145770594545156	-6452727971168184452	3410	3525	Hash Join,Hash,Index Only Scan,Index Scan,Merge Join,Seq Scan,Sort	Hash Join,Hash,Seq Scan,Sort
pgsql	796	18	400000	390000	4	4	646455532964243168	-5099290390605386496	815	1035	Hash Join,Hash,Seq Scan	Hash Join,Hash,Seq Scan
pgsql	796	19	180000	170000	4	4	5412012857036409596	-8740617537238648452	775	670	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Seq Scan,Sort
pgsql	796	19	1180000	1170000	4	4	549605454276023676	7697604809818660220	3610	3595	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Seq Scan,Sort
pgsql	796	24	830000	820000	4	4	4303073447364147712	4526675609982996992	1465	1460	Hash Join,Hash,Seq Scan	Hash Join,Hash,Seq Scan
pgsql	796	24	920000	910000	4	4	-8968066398644457984	4303073447364147712	1540	1550	Hash Join,Hash,Seq Scan	Hash Join,Hash,Seq Scan
pgsql	796	26	270000	260000	4	4	161008615081618944	-3502357001097730816	960	930	Hash Join,Hash,Seq Scan	Hash Join,Hash,Seq Scan
pgsql	796	26	440000	430000	4	4	161008615081618944	-3502357001097730816	1150	1135	Hash Join,Hash,Seq Scan	Hash Join,Hash,Seq Scan
pgsql	796	26	1070000	1060000	4	4	-7997016531430473984	656867484988321536	2400	2127.5	Hash Join,Hash,Seq Scan	Hash Join,Hash,Seq Scan
pgsql	796	26	1650000	1640000	4	4	-4348743308793781184	-7997016531430473984	3075	3185	Hash Join,Hash,Seq Scan	Hash Join,Hash,Seq Scan
pgsql	796	26	1760000	1750000	4	4	-4348743308793781184	-5926459452941821184	3230	3280	Hash Join,Hash,Seq Scan	Hash Join,Hash,Seq Scan
pgsql	796	26	1830000	1820000	4	4	-3557103816662156224	-5926459452941821184	3395	3380	Hash Join,Hash,Seq Scan	Hash Join,Hash,Seq Scan
pgsql	796	27	30000	20000	7	7	7400859513831079680	5773899173523914240	60	20	Hash Join,Hash,Index Only Scan,Merge Join,Seq Scan,Sort	Hash Join,Hash,Index Only Scan,Merge Join,Seq Scan,Sort
pgsql	796	28	20000	10000	8	8	610036500196248188	1650857425575134434	40	10	Index Scan,Merge Join,Seq Scan,Sort	HashAggregate,Index Scan,Merge Join,Seq Scan,Sort
pgsql	796	28	1010000	1000000	4	4	-7565399631423067076	-8801500291024537732	2235	2230	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Seq Scan,Sort
pgsql	796	30	500000	490000	4	4	-4369347536188613892	-4326997118117122692	620	605	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Seq Scan,Sort
pgsql	796	30	610000	600000	4	4	-4369347536188613892	-4326997118117122692	815	795	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Seq Scan,Sort
pgsql	796	30	940000	930000	4	4	-4369347536188613892	-4326997118117122692	1510	1480	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Seq Scan,Sort
pgsql	796	30	1150000	1140000	4	4	-4369347536188613892	-4326997118117122692	2165	2130	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Seq Scan,Sort
pgsql	796	31	580000	570000	5	5	905806533486884036	-5663258693084461948	2820	2800	Hash Join,Hash,Merge Join,Seq Scan,Sort	Hash Join,Hash,Merge Join,Seq Scan,Sort
pgsql	796	31	600000	590000	5	5	-5663258693084461948	905806533486884036	2870	2855	Hash Join,Hash,Merge Join,Seq Scan,Sort	Hash Join,Hash,Merge Join,Seq Scan,Sort
pgsql	796	31	1210000	1200000	5	5	4739480741891045764	4739480741891045764	4830	4820	Hash Join,Hash,Merge Join,Seq Scan,Sort	Hash Join,Hash,Merge Join,Seq Scan,Sort
pgsql	796	31	1360000	1350000	4	5	6370430159277351228	-2418306246144529212	3245	3995	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Merge Join,Seq Scan,Sort
pgsql	796	31	1380000	1370000	4	5	6370430159277351228	-2418306246144529212	3285	4025	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Merge Join,Seq Scan,Sort
pgsql	796	31	1900000	1890000	4	4	-7296167022630801540	6370430159277351228	4090	4080	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Seq Scan,Sort
pgsql	796	33	470000	460000	4	4	3244289031882618880	-7438781248047883200	920	1245	Hash Join,Hash,Seq Scan	Hash Join,Hash,Seq Scan
