*readMe
- [LOW_CARD, HIGH_CARD]: a range with the unique plan
- CURR_CARD: a cardinality in a range 

DBMS	RUNID	QUERYNUM	LOW_CARD	HIGH_CARD	CURR_CARD	PLANID	OPNAME	OPORDER	COST
db2	252	7	450000	540000	510000	-7734868676949578016	HSJOIN	7	11026
db2	252	7	450000	540000	520000	-7734868676949578016	HSJOIN	7	11237
db2	252	7	450000	540000	530000	-7734868676949578016	HSJOIN	7	11448
db2	252	7	450000	540000	540000	-7734868676949578016	HSJOIN	7	11672
db2	252	7	450000	540000	450000	-7734868676949578016	TBSCAN	8	4822
db2	252	7	450000	540000	460000	-7734868676949578016	TBSCAN	8	4933
db2	252	7	450000	540000	470000	-7734868676949578016	TBSCAN	8	5038
db2	252	7	450000	540000	480000	-7734868676949578016	TBSCAN	8	5149
db2	252	7	450000	540000	490000	-7734868676949578016	TBSCAN	8	5254
db2	252	7	450000	540000	500000	-7734868676949578016	TBSCAN	8	5358
db2	252	7	450000	540000	510000	-7734868676949578016	TBSCAN	8	5470
db2	252	7	450000	540000	520000	-7734868676949578016	TBSCAN	8	5574
db2	252	7	450000	540000	530000	-7734868676949578016	TBSCAN	8	5679
db2	252	7	450000	540000	540000	-7734868676949578016	TBSCAN	8	5790
db2	252	7	450000	540000	450000	-7734868676949578016	TBSCAN	9	4822
db2	252	7	450000	540000	460000	-7734868676949578016	TBSCAN	9	4933
db2	252	7	450000	540000	470000	-7734868676949578016	TBSCAN	9	5038
db2	252	7	450000	540000	480000	-7734868676949578016	TBSCAN	9	5149
db2	252	7	450000	540000	490000	-7734868676949578016	TBSCAN	9	5254
db2	252	7	450000	540000	500000	-7734868676949578016	TBSCAN	9	5358
db2	252	7	450000	540000	510000	-7734868676949578016	TBSCAN	9	5470
db2	252	7	450000	540000	520000	-7734868676949578016	TBSCAN	9	5574
db2	252	7	450000	540000	530000	-7734868676949578016	TBSCAN	9	5679
db2	252	7	450000	540000	540000	-7734868676949578016	TBSCAN	9	5790
db2	252	7	560000	630000	560000	-7734868676949578016	RETURN	0	34164
db2	252	7	560000	630000	570000	-7734868676949578016	RETURN	0	34375
db2	252	7	560000	630000	580000	-7734868676949578016	RETURN	0	34588
db2	252	7	560000	630000	590000	-7734868676949578016	RETURN	0	34815
db2	252	7	560000	630000	600000	-7734868676949578016	RETURN	0	35028
db2	252	7	560000	630000	610000	-7734868676949578016	RETURN	0	35241
db2	252	7	560000	630000	620000	-7734868676949578016	RETURN	0	35466
db2	252	7	560000	630000	630000	-7734868676949578016	RETURN	0	35680
db2	252	7	560000	630000	560000	-7734868676949578016	GRPBY	1	34164
db2	252	7	560000	630000	570000	-7734868676949578016	GRPBY	1	34375
db2	252	7	560000	630000	580000	-7734868676949578016	GRPBY	1	34588
db2	252	7	560000	630000	590000	-7734868676949578016	GRPBY	1	34815
db2	252	7	560000	630000	600000	-7734868676949578016	GRPBY	1	35028
db2	252	7	560000	630000	610000	-7734868676949578016	GRPBY	1	35241
