ALGRUNID	ITERNUM	INC_PT	KSD0_PT	KSD1_PT	MR1_PT	RHS_PT	TOT_PT
27441	129	80173	4	4	0	0	8
27441	130	80169	5	4	1	0	10
27441	131	80171	4	5	1	0	10
27441	132	80170	4	4	1	0	9
27441	133	80168	4	4	1	0	9
27441	134	80171	4	4	1	0	9
27441	135	80171	4	4	2	0	10
27441	136	80171	4	4	2	0	10
27441	137	80169	4	4	2	0	10
27441	138	80170	4	4	0	0	8
27441	139	80168	4	4	1	0	9
27441	140	80170	4	4	1	0	9
27441	141	80169	4	4	1	0	9
27441	142	80169	4	4	1	0	9
27441	143	80169	4	4	1	0	9
27441	144	80170	4	4	0	0	8
27441	145	80168	4	4	1	0	9
27441	146	80169	4	4	1	0	9
27441	147	80168	4	4	1	0	9
27441	148	80168	4	4	2	0	10
27441	149	80167	5	4	3	0	12
27441	150	80169	4	4	1	0	9
27441	151	80168	4	4	2	0	10
27441	152	80170	4	4	0	0	8
27441	153	80168	4	4	0	0	8
27441	154	80168	4	4	2	0	10
27441	155	80166	4	4	2	0	10
27441	156	80168	4	4	1	0	9
27441	157	80167	4	5	1	0	10
27441	158	80172	4	4	0	0	8
27441	159	80177	4	4	0	0	8
27441	160	80169	4	4	1	0	9
27441	161	80169	4	4	0	0	8
27441	162	80167	4	4	2	0	10
27441	163	80167	4	4	2	0	10
27441	164	80169	4	4	0	0	8
27441	165	80169	4	4	0	0	8
27441	166	80169	4	4	0	0	8
27441	167	80168	4	5	1	0	10
27441	168	80169	4	4	0	0	8
27441	169	80167	4	4	2	0	10
27441	170	80169	4	4	1	0	9
27441	171	80168	4	4	2	0	10
27441	172	80170	4	4	1	0	9
27441	173	80177	4	4	0	0	8
27441	174	80168	4	4	3	0	11
27441	175	80171	4	4	1	0	9
27441	176	80167	4	4	1	0	9
27441	177	80169	4	4	0	0	8
27441	178	80167	4	4	2	0	10
27441	179	80169	4	4	0	0	8
27441	180	80169	4	4	0	0	8
27441	181	80167	4	4	2	0	10
27441	182	80168	4	4	1	0	9
27441	183	80167	4	4	2	0	10
27441	184	80167	4	4	1	0	9
27441	185	80170	4	4	0	0	8
27441	186	80168	4	4	2	0	10
27441	187	80171	4	4	0	0	8
27441	188	80173	4	4	1	0	9
27441	189	80169	4	4	0	0	8
27441	190	80168	4	4	1	0	9
27441	191	80168	4	4	1	0	9
27441	192	80168	4	4	1	0	9
27441	193	80169	4	4	0	0	8
27441	194	80165	4	4	3	0	11
27441	195	80171	4	4	2	0	10
27441	196	80170	4	4	2	0	10
27441	197	80168	4	4	1	0	9
27441	198	80164	4	4	4	0	12
27441	199	80167	4	4	1	0	9
27441	200	80168	4	4	0	0	8
27441	201	80167	4	4	1	0	9
27441	202	80167	4	4	2	0	10
27441	203	80174	4	4	2	0	10
27441	204	80167	4	4	1	0	9
27441	205	80167	4	4	1	0	9
27441	206	80167	4	4	1	0	9
27441	207	80167	4	4	1	0	9
27441	208	80166	4	4	2	0	10
27441	209	80166	4	4	2	0	10
27441	210	80174	4	4	1	0	9
27441	211	80167	4	4	1	0	9
27441	212	80167	4	4	2	0	10
27441	213	80167	4	4	1	0	9
27441	214	80168	4	4	1	0	9
27441	215	80167	4	4	2	0	10
27441	216	80167	4	4	0	0	8
27441	217	80174	4	4	1	0	9
27441	218	80172	4	4	1	0	9
27441	219	80168	4	4	1	0	9
27441	220	80169	5	4	1	0	10
27441	221	80168	4	4	1	0	9
27441	222	80169	4	4	0	0	8
27441	223	80167	4	4	2	0	10
27441	224	80175	4	4	1	0	9
27441	225	80168	4	4	1	0	9
27441	226	80166	4	4	3	0	11
27441	227	80167	4	4	0	0	8
